ダウンロードした時刻：2018/11/10 21:18:43

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2018/1/1,4.4,8,1,10.6,8,1,7.2,8,1
2018/1/2,2.7,8,1,10.3,8,1,7.1,8,1
2018/1/3,2.2,8,1,7.3,8,1,4.9,8,1
2018/1/4,0.0,8,1,8.0,8,1,4.0,8,1
2018/1/5,2.7,8,1,4.5,8,1,3.6,8,1
2018/1/6,2.6,8,1,10.0,8,1,5.6,8,1
2018/1/7,1.8,8,1,9.1,8,1,5.8,8,1
2018/1/8,4.4,8,1,9.4,8,1,6.9,8,1
2018/1/9,4.5,8,1,10.4,8,1,8.0,8,1
2018/1/10,3.3,8,1,7.0,8,1,5.1,8,1
2018/1/11,0.9,8,1,5.1,8,1,2.6,8,1
2018/1/12,0.2,8,1,5.5,8,1,2.4,8,1
2018/1/13,0.4,8,1,6.5,8,1,3.4,8,1
2018/1/14,0.3,8,1,6.5,8,1,3.1,8,1
2018/1/15,-0.5,8,1,10.6,8,1,5.2,8,1
2018/1/16,2.9,8,1,14.9,8,1,8.7,8,1
2018/1/17,8.5,8,1,13.4,8,1,10.8,8,1
2018/1/18,7.5,8,1,13.4,8,1,10.5,8,1
2018/1/19,5.3,8,1,12.0,8,1,8.6,8,1
2018/1/20,3.5,8,1,11.5,8,1,7.5,8,1
2018/1/21,2.8,8,1,11.1,8,1,7.1,8,1
2018/1/22,2.1,8,1,6.1,8,1,4.0,8,1
2018/1/23,1.7,8,1,10.9,8,1,5.8,8,1
2018/1/24,-2.3,8,1,4.1,8,1,0.9,8,1
2018/1/25,-2.5,8,1,4.4,8,1,0.8,8,1
2018/1/26,-0.5,8,1,5.4,8,1,1.6,8,1
2018/1/27,-0.9,8,1,5.8,8,1,1.9,8,1
2018/1/28,-1.0,8,1,4.4,8,1,2.0,8,1
2018/1/29,1.1,8,1,8.7,8,1,4.6,8,1
2018/1/30,-1.0,8,1,6.3,8,1,3.1,8,1
2018/1/31,-0.4,8,1,6.6,8,1,3.6,8,1
2018/2/1,1.8,8,1,4.7,8,1,3.1,8,1
2018/2/2,1.3,8,1,8.1,8,1,4.6,8,1
2018/2/3,1.3,8,1,8.9,8,1,4.4,8,1
2018/2/4,1.3,8,1,5.3,8,1,3.1,8,1
2018/2/5,-0.6,8,1,5.4,8,1,2.0,8,1
2018/2/6,-1.0,8,1,4.8,8,1,1.3,8,1
2018/2/7,-0.9,8,1,5.7,8,1,1.9,8,1
2018/2/8,-1.0,8,1,7.0,8,1,2.8,8,1
2018/2/9,-1.3,8,1,9.8,8,1,4.3,8,1
2018/2/10,3.7,8,1,5.8,8,1,4.9,8,1
2018/2/11,0.6,8,1,8.3,8,1,5.0,8,1
2018/2/12,0.2,8,1,6.3,8,1,2.6,8,1
2018/2/13,1.0,8,1,6.5,8,1,3.5,8,1
2018/2/14,-0.5,8,1,9.5,8,1,5.6,8,1
2018/2/15,5.0,8,1,12.2,8,1,8.0,8,1
2018/2/16,2.9,8,1,11.0,8,1,6.7,8,1
2018/2/17,2.2,8,1,9.9,8,1,6.3,8,1
2018/2/18,0.7,8,1,8.7,8,1,3.9,8,1
2018/2/19,1.2,8,1,8.8,8,1,5.2,8,1
2018/2/20,4.1,8,1,11.4,8,1,7.5,8,1
2018/2/21,4.3,8,1,9.5,8,1,6.6,8,1
2018/2/22,2.8,8,1,10.1,8,1,6.2,8,1
2018/2/23,2.6,8,1,10.6,8,1,6.7,8,1
2018/2/24,2.4,8,1,12.9,8,1,7.5,8,1
2018/2/25,4.3,8,1,10.5,8,1,7.1,8,1
2018/2/26,5.3,8,1,13.7,8,1,8.7,8,1
2018/2/27,3.3,8,1,14.5,8,1,8.9,8,1
2018/2/28,4.8,8,1,17.1,8,1,11.3,8,1
2018/3/1,9.5,8,1,17.6,8,1,12.5,8,1
2018/3/2,5.5,8,1,12.0,8,1,8.6,8,1
2018/3/3,3.5,8,1,15.5,8,1,9.7,8,1
2018/3/4,8.4,8,1,21.0,8,1,14.4,8,1
2018/3/5,8.0,8,1,17.8,8,1,13.1,8,1
2018/3/6,5.3,8,1,12.5,8,1,8.0,8,1
2018/3/7,3.2,8,1,12.3,8,1,8.0,8,1
2018/3/8,8.9,8,1,14.1,8,1,11.6,8,1
2018/3/9,3.6,8,1,11.0,8,1,7.4,8,1
2018/3/10,3.2,8,1,11.4,8,1,6.1,8,1
2018/3/11,1.7,8,1,12.9,8,1,7.4,8,1
2018/3/12,4.1,8,1,15.3,8,1,9.6,8,1
2018/3/13,6.0,8,1,19.2,8,1,12.8,8,1
2018/3/14,9.4,8,1,21.6,8,1,15.6,8,1
2018/3/15,10.9,8,1,21.5,8,1,16.4,8,1
2018/3/16,5.1,8,1,17.5,8,1,10.2,8,1
2018/3/17,3.7,8,1,13.8,8,1,8.5,8,1
2018/3/18,5.5,8,1,18.2,8,1,11.8,8,1
2018/3/19,11.4,8,1,16.8,8,1,13.9,8,1
2018/3/20,5.3,8,1,11.5,8,1,8.3,8,1
2018/3/21,5.2,8,1,13.3,8,1,8.8,8,1
2018/3/22,7.2,8,1,13.0,8,1,10.0,8,1
2018/3/23,5.7,8,1,13.2,8,1,8.9,8,1
2018/3/24,3.8,8,1,16.0,8,1,10.3,8,1
2018/3/25,7.3,8,1,18.0,8,1,13.1,8,1
2018/3/26,8.5,8,1,20.7,8,1,14.7,8,1
2018/3/27,9.4,8,1,21.8,8,1,15.8,8,1
2018/3/28,11.1,8,1,23.7,8,1,17.6,8,1
2018/3/29,12.3,8,1,22.2,8,1,17.5,8,1
2018/3/30,8.6,8,1,18.7,8,1,13.1,8,1
2018/3/31,6.4,8,1,19.6,8,1,13.0,8,1
2018/4/1,11.4,8,1,21.9,8,1,16.4,8,1
2018/4/2,14.3,8,1,23.5,8,1,18.9,8,1
2018/4/3,14.4,8,1,24.9,8,1,19.7,8,1
2018/4/4,11.1,8,1,24.7,8,1,18.2,8,1
2018/4/5,10.3,8,1,20.0,8,1,14.9,8,1
2018/4/6,12.3,8,1,21.6,8,1,17.3,8,1
2018/4/7,7.8,8,1,13.6,8,1,11.0,8,1
2018/4/8,6.4,8,1,12.8,8,1,9.3,8,1
2018/4/9,6.1,8,1,16.9,8,1,12.0,8,1
2018/4/10,9.3,8,1,21.7,8,1,15.3,8,1
2018/4/11,14.4,8,1,22.3,8,1,19.1,8,1
2018/4/12,15.4,8,1,20.7,8,1,18.5,8,1
2018/4/13,10.9,8,1,20.1,8,1,14.6,8,1
2018/4/14,9.6,8,1,21.3,8,1,14.4,8,1
2018/4/15,10.6,8,1,19.2,8,1,14.3,8,1
2018/4/16,9.8,8,1,19.1,8,1,13.8,8,1
2018/4/17,10.9,8,1,19.6,8,1,14.2,8,1
